name,link,year,type,tech,description,explanation
codebook,https://codebook.snc.io,2016,Product,Python,,
radmontage,https://radmontage.com/,2015,Product,"PHP, redis, Youtube API",,
snapcoin,https://andychase.me/snapcoin,2015,Product,"Scala, blockchain API",,
dontdrown,https://github.com/andychase/dontdrown,2015,Game,"Scala, jMonkeyEngine3",,
pipeless,https://andychase.me/pipeless,2014,Library,Python,A simple Python library for building a data pipeline.,
date_machine,https://asperous.github.io/pipeless.png,2014,Library,Reparse,,
reparse,https://reparse.readthedocs.org,2014,Library,Python,,
youboards,https://github.com/andychase/gab,2013,Product,PHP,,
themidnightmenu,https://andychase.me/themidnightmenu,2012,Product,"PHP, Google Voice, Costco",,
1Fiesta,https://github.com/andychase/1fiesta.com,2012,Product,PHP,,
Airplane,http://www.kongregate.com/games/asperous/airplane,2011,Game,Actionscript,,
